key,zh-CN,zh-Hant,en-US,es,fr,it,ja,kr
rpmLightGridDialog.color,颜色,顏色,Color,Color,Couleur,Colore,カラー,컬러
rpmLightGridDialog.disableRPMFlash,禁用闪烁,禁用閃爍,Disable RPM Flash,Desactivar Parpadeo RPM,Disable RPM Flash,Disabilita il Lampeggio degli RPM,RPM 点滅を無効にする,RPM등점멸 비활성화
rpmLightGridDialog.executingTheActionWillOverrideTheConstituencyTelemetry,执行操作将会覆盖选区遥测,執行操作將會涵蓋選取範圍遙測,Executing the action will override the constituency telemetry,La ejecución de la acción anulará la telemetría.,L'exécution de l'action remplacera la télémétrie,Questa azione sovrascriverà la telemetria,この操作を行うと、選択されたテレメトリが上書きされます。,이 작업을 실행하면 사용자의 텔레메트리가 무시됩니다
rpmLightGridDialog.syncWithGlobalBrightness,同步盘面亮度,同步盘面亮度,Sync with global brightness,Sincronizar con el brillo general,Sync with Global brightness,Sincronizza con la Luminosità Globale,グローバル輝度を同期する,밝기를 전역설정으로 동기화
rpmLightGridDialog.telemetry,遥测,遙測,Telemetry,Telemetria,Télémétrie,Telemetria,テレメトリ,텔레메트리
screen.adsorb,吸附,,,,,,,
screen.redline,Redline,,,,,,,
screen.rpm,RPM,,,,,,,
settings.awayLock.awayLockLoginRequired,登录后启用访问码,登入後啟用訪問碼,You can set Access Code after login,Puede configurar el código de acceso después de iniciar sesión,Vous pouvez définir le code d'accès après la connexion,Puoi Impostare il Codice di Accesso dopo il login,ログイン後にアクセスコードを設定できます。,로그인 후에 액세스코드를 설정할 수 있습니다
settings.awayLock.deactivate,解除访问码,解除存取碼,Deactivate,Desactivar,Désactiver,Disattiva,非アクティブ化,비활성화
settings.awayLock.deactivateAwayLock,关闭访问码,關閉訪問碼,Deactive Access Code,Desactivar código de acceso,Désactiver le code d'accès,Disattiva il Codice di Accesso,無効なアクセスコード,액세스코드 비활성화
settings.awayLock.passwordSet,已设置访问码,已設定存取碼,Access Code had been set,Se ha configurado el código de acceso,Le code d'accès a été défini,Il Codice di Accesso è stato inviato,アクセスコードが設定されました,액세스코드가 설정되지 않았습니다
settings.awayLock.setupAwayLock,设置访问码,設定訪問碼,Setup Access Code,Configurar código de acceso,Configurer le code d'accès,Imposta Codice di Accesso,アクセスコードの設定,액세스코드 설정
settings.awayLock.title,访问码,訪問碼,Access Code,Código de acceso,Code d'accès,Codice di Accesso,アクセスコード,액세스 코드
settings.checkOpenSource,OPEN SOURCE LICENSE,OPEN SOURCE LICENSE,OPEN SOURCE LICENSE,LICENCIA DE CÓDIGO ABIERTO,LICENCE OPEN SOURCE,LICENZA OPEN SOURCE,オープンソースライセンス,오픈 소스 라이선스
settings.clearData,清除所有数据,清除所有數據,WIPE ALL DATA,BORRAR TODOS LOS DATOS,EFFACER TOUTES LES DONNÉES,CANCELLA TUTTI I DATI,全てのデータを消去,모든 데이터 삭제
settings.common.SimProUpdateNotification,SimPro更新提示,SimPro更新提示,SimPro Update Notification,Notificación de actualización de SimPro,Notification de mise à jour de SimPro,Notifiche Aggiornamento SimPro,SimPro 更新通知,SimPro 업데이트 알림
settings.common.autoCheckUpdate,自动检查更新,自動檢查更新,Auto Check Update,Comprobar actualizaciones automáticas,Vérification automatique des mises à jour,Controlla Automaticamente Aggiornamenti,自動チェック更新,자동 업데이트 확인
settings.common.automaticallyStartTheSimagicDeviceServiceAtStartup,开机启动SimPro,開機自動啟動速魔設備服務,Launch SimPro with Windows,Arrancar SimPro al iniciar Windows,Lancer SimPro au démarrage de Windows,Avvia SimPro con Windows,Windows から始める,Windows 시작 시 SimPro 자동 시작
settings.common.enableNotification,开启消息提示,開啟消息提示,Enable Notification,Habilitar notificación,Activer les notifications,Abilita Notifiche,通知を有効にする,알림 활성화
settings.common.hideSimproToTrayWhenClose,退出SimPro到托盘,退出SimPro到托盤,Hide SimPro To Tray When Close,Ocultar SimPro en la bandeja cuando esté cerrado,Masquer SimPro dans la barre d'état système lors de la fermeture,Minimizza a Icona SimPro quando lo Chiudi,SimProを閉じたときにトレイに非表示,닫을 때 SimPro를 트레이로 숨기기
settings.common.minimizeToTrayWhenClose,窗口关闭时最小化到系统托盘,窗口關閉時最小化到系統托盤,Minimize To Tray When Close,Minimizar a la barra de tareas al cerrar,Minimiser dans la barre d'état système lors de la fermeture,Minimizza a Icona quando Chiudi,閉じるときにトレイに最小化,닫을 때 트레이로 최소화
settings.common.options,选项,選項,Options,Opciones,Options,Opzioni,オプション,옵션
settings.common.startSimproMinimum,启动时SimPro最小化,啟動時SimPro最小化,Start SimPro Minimize,Iniciar minimizado el SimPro,Démarrer SimPro réduit dans barre d'état système,Avvia SimPro Minimizzato,SimProの起動 最小化,PC시작시 심프로 최소화
settings.common.theme,主题,主題,Theme,Tema,Thème,Tema,テーマカラー,테마
settings.ffbReset,重置力回馈组件,重置力回饋組件,RESET FFB COMPONENT,FFB Reset,RÉINITIALISER LES RÉGLAGES FFB,RESETTA COMPONENTI FFB,FFBコンポーネントのリセット,포스피드백 설정 초기화
settings.reviewTheUserAgreement,查看用户协议,查看用戶協議,Review The User Agreement,Revisar el acuerdo de usuario,Consultez l'accord  d'utilisation,Rivedi Accordo con l’Utente,ユーザー契約を確認する,사용자 동의서 검토
settings.tab.common,常规,常規,Common,Común,Général,Generali,通常,일반
settings.tab.experimental,高级,高級,Experimental,Experimental,Expérimentale,Feature Sperimentali,実験的,실험적
settings.tab.update,更新,更新,Update,Actualización,Mises à jour,Aggiornamenti,アップデート,업데이트
settings.title,设置,設置,Settings,Ajustes,Réglages,Impostazioni,設定,설정
settings.update.FirmwareUpdate,固件更新,固件更新,Firmware Update,Firmware Actualizado,Mise à jour du micrologiciel,Aggiorna Firmware,ファームウェアアップデート,펌웨어 업데이트
settings.update.PatchNotes,查看更新说明,查看更新說明,Patch Notes,Notas del parche,Notes de mise à jour,Novità Aggiornamento,パッチノート,패치 노트
settings.update.SimProUpdate,SimPro更新,SimPro更新,SimPro Update,SimPro Actualizado,Mise à jour de SimPro,Aggiorna SimPro,SimPro アップデート,SimPro 업데이트
settings.update.browse,浏览,瀏覽,Browse,Examinar,Parcourir,Sfoglia,参照,찾아보기
settings.update.changeLog,更新日志,更新日誌,Change Log,Cambios,Journal des modifications,Novità,変更ログ,변경 내역
settings.update.checkUpdate,检查更新,檢查更新,Check Update,Comprobar actualización,Vérifier la mise à jour,Controlla Aggiornamenti,アップデートをチェックする,업데이트 확인
settings.update.close,关闭,關閉,Close,Cerrar,Fermer,Chiudi,閉じる,닫기
settings.update.connectDeviceInUSBMode,请从基座移除此设备后通过USB数据线连接电脑,PLZ,Please remove this device from base and connect to PC via USB cable.,Por favor conecte este dispositivo mediante un cable USB al PC.,Veuillez retirer cet appareil de la base et le connecter directement au PC via un câble USB.,Rimuovi questo dispositivo dalla base e collegalo al PC con il cavo USB.,本機をベースから取り外し、USBケーブルでPCに接続してください,이 장치를 USB 케이블로 PC에 연결해 주세요.
settings.update.copyPkgLinkandDownloadManually,复制链接手动下载,複製連結手動下載,Download with link,Descargar con enlace,Télécharger avec lien,Scarica con Link,リンクからダウンロード,링크로 다운로드
settings.update.current,当前,當前,Current,Actual,Version actuelle,Attuale,カレント,현재
settings.update.download,下载,下載,Download,Descargar,Télécharger,Scarica,ダウンロード,다운로드
settings.update.downloadFinished,下载完成,下載完成,Download Finished,Descargar Finalizada,Téléchargement terminé,Download Terminato,ダウンロード完了,다운로드 완료
settings.update.downloading,正在下载,正在下載,Downloading,Descargando,Téléchargement,In Download,ダウンロード中,다운로드 중
settings.update.everythingUpToDate,所有软件已是最新,所有軟件已是最新,Everything Up-to-date,Todo actualizado,Tout est à jour,Tutto Aggiornato,すべて最新,모든 항목이 최신 상태입니다
settings.update.flash,刷写,刷寫,Flash,Flash,Flash,Flash,フラッシュ,플래시
settings.update.flashStatus.checksum_mismatch,文件损坏,文件損壞,File Invalid,Archivo no válido,Fichier invalide,File non Valido,ファイルが無効です,파일 무효
settings.update.flashStatus.complete,完成,完成,Complete,Completo,Terminé,Completa,コンプリート,완료
settings.update.flashStatus.device not connected,未找到固件对应设备,,Device Not Found,Dispositivo no encontrado,Appareil introuvable,Dispositivo Non Trovato,デバイスが見つかりません,장치를 찾을 수 없음
settings.update.flashStatus.download failed,失败,,Failed,Descarga fallida,Echec,Fallito,失敗しました,다운로드 실패
settings.update.flashStatus.downloading,刷写中,,Downloading,Descargando,Téléchargement,In Download,ダウンロード中,다운로드 중
settings.update.flashStatus.flashable,可刷写,刷寫中,Ready to flash,Listo para flashear,Prêt à flasher,Pronto per l’Aggiornamento,更新準備完了,업데이트 준비가 완료되었습니다
settings.update.flashStatus.none,空闲,,Idle,Inactivo,En attente,In Attesa,休止中,대기 중
settings.update.flashStatus.preparing,准备中,,Preparing,Preparando,Préparation,Preparazione,準備中,준비 중
settings.update.flashStatus.reconnectThroughUSB,通过USB重新连接,透過USB重新連接,Reconnect through USB,Reconectarse a través de usb,Reconnecter via USB,Ricollega Tramite USB,USBで再接続,USB를 통해 재연결
settings.update.flashStatus.success,成功,,Success,Realizado,Succès,Successo,成功しました,성공
settings.update.lastCheckTime,最后检查时间,最後檢查時間,Last Check Time,Última hora de comprobación,Dernière vérification,Ultimo Controllo,最終チェック時刻,최근 확인 시간
settings.update.latest,最新,最新,Latest,Más reciente,Dernière version,Più Recente,最新,최신
settings.update.manualFlash,手动刷写固件,手動刷寫韌體,Manual Firmware Flash,Actualización manual del firmware,Flash manuel du micrologiciel,Flash Manuale del Firmware,手動ファームウェア更新,수동 펌웨어 플래시
settings.update.manuallyUpdateTheFirmware,手动刷写固件,手動刷寫固件,Manual Firmware Flash,Actualización manual del firmware,Flash manuel du micrologiciel,Flash Manuale del Firmware,手動ファームウェア更新,수동 펌웨어 플래시
settings.update.progress,进度,進度,Progress,Progreso,Progression,Progresso,進捗状況,진행률
settings.update.quitSimHubbeforeFlash,刷写设备固件前请先退出SimHub,刷写设备固件前请先退出SimHub,Please close SimHub before firmware operation,Cierre SimHub antes de actualizar el firmware.,Veuillez fermer SimHub avant de mettre à jour le micrologiciel,Cortesemente chiudi Simhub prima di agire sul firmware,ファームウェア操作の前にSimHubを終了してください,펌웨어 버전 변경 전에 심허브를 종료해주십시오
settings.update.releasedAt,发布于,發佈於,Released At,Publicado el,Sortie le,Rilasciato Il,でリリース,출시 날짜
settings.update.status,状态,狀態,Status,Estado,Status,Stato,ステータス,상태
settings.update.update,更新,更新,Update,Actualizar,Mettre à jour,Aggiorna,アップデート,업데이트
settings.update.updatesAvaliable,有可用的更新,有可用的更新,Updates Avaliable,Actualizaciones disponibles,Mises à jour disponibles,Aggiornamenti Disponibili,利用可能なアップデート,사용 가능한 업데이트
settings.update.updating,正在更新,正在更新,Updating,Actualizando,Mise à jour,Aggiornamento,更新中,업데이트 중
simpro2nolongerSupportsM10,SimPro2 已不再支持 M10,SimPro2 已不再支援 M10,SimPro Manager 2 no longer supports M10,SimPro Manager 2 ya no es compatible con M10,SimPro Manager 2 ne prend plus en charge le M10,SimPro Manager 2 non supporta più M10,SimPro Manager 2はM10のサポートを終了しました,SimPro Manager 2는 더 이상 M10을 지원하지 않습니다
sm_dialog.afterSaveTip,确认保存后，请在【个人预设】中查看预设详情,確認保存後，請在【個人預設】中查看預設詳情,"After confirming the save, please check the preset details in [Personal Presets]","Après avoir confirmé l'enregistrement, veuillez vérifier les détails du préréglage dans [Préréglages personnels]","Après avoir confirmé l'enregistrement, veuillez vérifier les détails du préréglage dans [Préréglages personnels]","Dopo aver confermato il salvataggio, controlla i dettagli del preset in [Preset personali]",保存を確認した後、[個人プリセット]でプリセットの詳細をご確認ください,"저장을 확인한 후, [개인 프리셋]에서 프리셋 세부 정보를 확인하세요"
sm_dialog.confirmDeletePreset,您确定要删除它吗?删除后，此预设将不再保存在本地。,您確定要刪除它嗎?刪除後，此預設將不再保存在本地。,"Are you sure you want to delete it? After deletion, this preset will no longer be saved locally",¿Seguro que quieres eliminarlo? Después de eliminar este preset ya no se guardará localmente.,"Êtes-vous sûr de vouloir le supprimer? Après suppression, ce preset ne sera plus enregistré localement.","Siete sicuri di volerla cancellare? Dopo la cancellazione, questa condizione non sarà più conservata a livello locale.",削除しますか?削除後、このプリセットはローカルに保存されなくなります。,정말로 삭제하시겠습니까?삭제하면 미리 설정한 값을 더 이상 로컬에 저장하지 않습니다.
sm_dialog.saveAsPersonalPreset,另存为个人预设,另存為個人預設,Save As Personal Preset,Guardar como preset personal,Enregistrer sous comme préréglage personnel,Salva come preset personale,個人プリセットとして保存,개인 프리셋으로 저장
telemetry.alwaysOn,常亮,常亮,Always On,Siempre encendido,Toujours activé,Sempre acceso,常時点灯,항상 켜짐
telemetry.and,和,和,And,Y,Et,E,と,그리고
telemetry.blink,闪烁,閃爍,Blink,Parpadeo,Clignoter,Lampeggiare,点滅,반짝임
telemetry.blinkingColor,闪烁颜色,閃爍顏色,Blinking Color,Color parpadeante,Couleur clignotante,Colore lampeggiante,点滅する色,깜박이는 색
telemetry.blinkingDelay,闪烁延迟,閃爍延遲,Blinking Delay,Retraso de parpadeo,Délai de clignotement,Ritardo lampeggiante,点滅の遅延,깜박임 지연
telemetry.boxSelect,框选,框選,Box Selection,Selección de cuadro,Sélection par case,Selezione rettangolare,ボックス選択,박스 선택
telemetry.brakeHint,基于所选灯光颜色和位置，刹车行程跟随,基於所選燈光顏色和位置，剎車行程跟隨,Brake travel follows based on the selected light color and position,El recorrido del freno sigue según el color y la posición de la luz seleccionados,La course du frein suit en fonction de la couleur et de la position de la lumière sélectionnée,Il percorso del freno segue in base al colore e alla posizione della luce selezionata,選択したライトの色と位置に基づいて、ブレーキの移動が追従します,선택한 조명 색상과 위치에 따라 브레이크 트래블이 따릅니다
telemetry.fuelMode,油量模式,油量模式,Fuel Mode,Modo de combustible,Mode de carburant,Modalità carburante,燃料モード,연료 모드
telemetry.fuelWarning,油量预警,油量預警,Fuel Warning,Advertencia de combustible,Avertissement de carburant,Avviso carburante,ガソリン警告,연료 경고
telemetry.gearMode,档位模式,檔位模式,Gear Mode,Modo de marcha,Nom de l'appareil,Modalità marcia,ギアモード,기어 모드
telemetry.label.ABS triggered,防抱死系统已触发,防抱死系統已觸發,,ABS activado,ABS déclenché,ABS attivato,ABSが作動しました,ABS 작동됨
telemetry.label.ABS_ACTIVE,ABS触发,ABS觸發,ABS Active,ABS activo,ABS actif,ABS attivo,ABSが作動中,ABS 활성화됨
telemetry.label.BRAKE,刹车,煞車,Brake,Freno,Frein,Freno,ブレーキ,브레이크
telemetry.label.CLUTCH,离合,離合,Clutch,Embrague,Embrayage,Frizione,クラッチ,클러치
telemetry.label.DRS_ON,DRS状态,DRS狀態,Drs Enabled,DRS activado,DRS activé,DRS attivato,DRSの状態,DRS 상태
telemetry.label.ENGINE_IGNITION_ON,引擎通电是否开启,引擎通電是否開啟,Engine ignition,Está activado el encendido del motor,L'allumage du moteur est-il activé,L'accensione del motore è attiva,エンジンの電源は入っていますか,엔진 전원이 켜져 있습니까
telemetry.label.ENGINE_STARTED,引擎是否启动,引擎是否啟動,Engine started,Motor encendido,Moteur démarré,Motore avviato,エンジンが始動しました,엔진 스타트
telemetry.label.FFB_CLIPPING,力回馈裁剪,力回饋裁剪,FFB Clipping,Recorte FFB,Saturation FFB,Clipping FFB,FFBクリッピング,FFB 클리핑
telemetry.label.FLAG_BLACK,黑旗,黑旗,Black Flag,Bandera negra,Drapeau noir,Bandiera nera,黒旗,검은색 깃발
telemetry.label.FLAG_BLUE,蓝旗,藍旗,Blue Flag,Bandera azul,Drapeau bleu,Bandiera blu,青旗,파란 깃발
telemetry.label.FLAG_CHECKERED,方格旗,方格旗,Checkered Flag,Bandera a cuadros,Drapeau à damier,Bandiera a scacchi,チェッカーフラッグ,체커 깃발
telemetry.label.FLAG_GREEN,绿旗,綠旗,Green Flag,Bandera verde,Drapeau vert,Bandiera verde,緑旗,녹색 깃발
telemetry.label.FLAG_RED,红旗,紅旗,Red Flag,Bandera roja,Drapeau rouge,Bandiera rossa,赤旗,빨간 깃발
telemetry.label.FLAG_WHITE,白旗,白旗,White Flag,Bandera blanca,Drapeau blanc,Bandiera bianca,白旗,백색 깃발
telemetry.label.FLAG_YELLOW,黄旗,黄旗,Yellow Flag,Bandera amarilla,Drapeau jaune,Bandiera gialla,黄旗,노란 깃발
telemetry.label.FUEL,燃油,燃油,Fuel,Combustible,Carburant,Carburante,燃料,연료
telemetry.label.GEAR,档位,檔位,Gear,Posición de la marcha,Position de la vitesse,Posizione della marcia,ギアの位置,기어
telemetry.label.HAND_BRAKE,手刹,手刹,Hand-Brake,Freno de mano,Frein à main,Freno a mano,ハンドブレーキ,핸드브레이크
telemetry.label.IS_IN_PIT,在维修区,在維修區,is in PIT LANE,Está en el carril de boxes,Est dans la voie des stands,È nella corsia dei box,ピットレーンにいます,피트 레인에 있습니다
telemetry.label.LEFT_CAR_SPOTTER,左侧有无其他车辆,左側有無其他車輛,Spotter Car Left,Coche de observación izquierdo,Voiture de repérage à gauche,Auto spotter sinistra,左側スポッターカー,좌측 스포터 차량
telemetry.label.LEFT_INDICATOR,左转向灯,左轉向燈,Left indicators,Intermitentes izquierdos,Clignotants gauche,Indicatori di sinistra,左方向指示灯,좌측 방향 지시등
telemetry.label.PIT_LIMITER,维修区限速器,維修區限速器,PitLimiter,Limitador de boxes,Limiteur de stand,Limitatore di velocità ai box,ピットリミッター,피트 리미터
telemetry.label.RIGHT_CAR_SPOTTER,右侧有无其他车辆,右側有無其他車輛,Spotter Car Right,Coche de observación derecho,Voiture de repérage à droite,Auto spotter destra,右側スポッターカー,우측 스포터 차량
telemetry.label.RIGHT_INDICATOR,右转向灯,右轉向燈,Right indicators,Intermitentes derechos,Clignotants droite,Indicatori  di destra,右方向指示灯,우측 방향 지시등
telemetry.label.RPM,转速,轉速,RPM,Revoluciones por minuto,Tours par minute,Giri al minuto,回転数,엔진 회전수
telemetry.label.RPM_REDLINE,转速红线,轉速紅線,RPM RedLine,Límite de revoluciones por minuto,Zone rouge du moteur,Limite dei giri al minuto,回転数レッドライン,엔진 회전수 제한
telemetry.label.SPEED,时速,時速,Speed,Velocidad - KM/h / MP/h,Vitesse,Velocità-Kmh/Mph,時速,속도
telemetry.label.STATIC_EFFECT,静态效果,靜態效果,Static Effect,Efecto estático,Effet statique,Effetto statico,静的効果,정적 효과
telemetry.label.TC enabled,牵引力控制已启用,牽引力控制已啟用,,Control de tracción habilitado,Contrôle de traction activé,Controllo di trazione abilitato,トラクションコントロールが有効です,TC 활성화됨
telemetry.label.TC_ACTIVE,牵引力控制触发,牽引力控制觸發,TC Active,TC activo,TC actif,TC attivo,TCが作動中,TC 활성화됨
telemetry.label.THROTTLE,油门,油門,Throttle,Acelerador,Accélérateur,Acceleratore,アクセル,스로틀
telemetry.maximum,,,Minimum,,,,,
telemetry.maximumPercentage,最大百分比,最大百分比,Maximum Percentage,Porcentaje máximo,Pourcentage maximum,Percentuale massima,最大パーセンテージ,최대 백분율
telemetry.maximumSpeed,最大速度,最大速度,Maximum Speed,Velocidad máxima,Vitesse maximale,Velocità massima,最大速度,최대 속도
telemetry.minimum,,,Minimum,,,,,
telemetry.minimumPercentage,最小百分比,最小百分比,Minimum Percentage,Porcentaje mínimo,Pourcentage minimum,Percentuale minima,最小パーセンテージ,최소 백분율
telemetry.minimumSpeed,最小速度,最小速度,Minimum Speed,Velocidad mínima,Vitesse minimale,Velocità minima,最小速度,최소 속도
telemetry.or,或,或,Or,O,Ou,Oppure,または,또는
telemetry.percentage,百分比,百分比,Percentage,,,,,
telemetry.rpmSettingTip,可通过手动输入、拖拽滑动条或者鼠标滚轮来改变转速灯数值,可通過【手動輸入】【拖拽滑動條】【鼠標滾輪】來改變轉速數值。,"You can change the RPM value through Manual Input, Dragging the Slider, or Mouse Scroll Wheel.","Puedes cambiar el valor de las RPM mediante Entrada manual, Deslizar la barra, o Rueda del ratón.","Vous pouvez modifier la valeur de régime moteur (RPM) via saisie manuelle, par glissement du curseur, ou via la molette de la souris.","Puoi modificare il valore degli RPM tramite Inserimento manuale, Trascinamento della barra o Rotella del mouse.",【手動入力】、【スライダーをドラッグ】、【マウスホイール】で回転数の値を変更できます。,"수동 입력, 슬라이더 드래그, 또는 마우스 스크롤 휠을 통해 RPM 값을 변경할 수 있습니다."
telemetry.rpmUnit,转速单位,轉速單位,RPM Unit,Unidad de RPM,Unité de RPM,Unità di RPM,回転速度単位,RPM 단위
telemetry.singleSelect,单选,單選,Single Selection,Selección única,Sélection unique,Selezione singola,単一選択,단일 선택
telemetry.speedHint,到达对应数值时，灯会亮起。,到達對應數值時，燈會亮起。,"When the corresponding value is reached, the light will turn on.","Cuando se alcance el valor correspondiente, la luz se encenderá.","Lorsque la valeur correspondante est atteinte, la lumière s'allume.","Quando il valore corrispondente viene raggiunto, la luce si accenderà.",対応する数値に達すると、ライトが点灯します。,해당 값에 도달하면 불이 켜집니다.
telemetry.speedSettings,速度设置,速度設置,Speed Settings,Configuración de velocidad,Paramètres de vitesse,Impostazioni di velocità,速度設定,속도 설정
telemetry.speedWarning,速度预警,速度預警,Speed Warning,Advertencia de velocidad,Avertissement de vitesse,Avviso di velocità,速度警告,속도 경고
telemetry.standardColors,标准颜色,標準顏色,Standard Colors,Colores estándar,Couleurs standard,Colori standard,標準色,표준 색상
telemetry.suggestion,建议,建議,Suggestion,Sugerencia,Suggestion,Suggerimento,提案,제안
telemetry.support,支持,支持,Support,Soporte,Support,Supporto,サポート,지원
telemetry.tooltip.ABS triggered,车辆刹车时ABS介入，触发灯效,車輛剎車時ABS介入，觸發燈效,Triggers light effects when ABS activates during braking,Activa efectos de luz cuando el ABS interviene durante el frenado,Déclenche des effets lumineux lorsque l'ABS s'active lors du freinage,Attiva effetti luminosi quando l'ABS interviene durante la frenata,車両がブレーキを踏む際にABSが作動すると、ライトエフェクトが起動します,차량 브레이크 시 ABS 개입 시 조명 효과 트리거됩니다
telemetry.tooltip.ABS_ACTIVE,ABS处于开启状态触发灯效,ABS處於開啟狀態觸發燈效,Trigger light effect when ABS is enabled,Activar efecto de luz cuando el ABS está habilitado,Déclencher l'effet lumineux lorsque l'ABS est activé,Attivare l'effetto luminoso quando l'ABS è attivato,ABSが有効になったときにライトエフェクトをトリガー,ABS가 활성화될 때 조명 효과 트리거됩니다
telemetry.tooltip.BRAKE,根据刹车压力动态调整灯效,根據剎車壓力動態調整燈效,Adjust lighting effects dynamically based on brake pressure,Ajustar dinámicamente los efectos de luz según la presión del freno,Ajuster les effets lumineux dynamiquement en fonction de la pression de freinage,Regola dinamicamente gli effetti di illuminazione in base alla pressione del freno,ブレーキ圧に応じて動的にライトエフェクトを調整,브레이크 압력에 따라 다이나믹하게 조명 효과 조정
telemetry.tooltip.CLUTCH,根据离合器位置动态调整灯效,根據離合器位置動態調整燈效,Adjust lighting effects dynamically based on clutch position,Ajustar dinámicamente los efectos de luz según la posición del embrague,Ajuster les effets lumineux dynamiquement en fonction de la position de l'embrayage,Regola dinamicamente gli effetti di illuminazione in base alla posizione della frizione,クラッチ位置に応じて動的にライトエフェクトを調整,클러치 위치에 따라 다이나믹하게 조명 효과 조정
telemetry.tooltip.DRS_ON,激活DRS时触发灯效,激活DRS時觸發燈效,Lighting effect triggered when DRS is activated,Efecto de iluminación activado cuando se activa el DRS,Effet lumineux déclenché lors de l'activation du DRS,Effetto luminoso attivato quando il DRS è attivato,DRSが作動するときにライトエフェクトがトリガーされます,DRS가 활성화될 때 조명 효과가 트리거됩니다
telemetry.tooltip.ENGINE_IGNITION_ON,发动机点火时触发灯效,發動機點火時觸發燈效,Lighting effect triggered upon engine ignition,Efecto de iluminación activado al encender el motor,Effet lumineux déclenché lors de l'allumage du moteur,Effetto luminoso attivato all'accensione del motore,エンジン始動時にライトエフェクトがトリガーされます,엔진 이그니션 시 조명 효과 활성화
telemetry.tooltip.ENGINE_STARTED,发动机启动完成时触发灯效,發動機啟動完成時觸發燈效,Lighting effect triggered when engine startup is complete,Efecto de iluminación activado al completar el arranque del motor,Effet lumineux déclenché lorsque le démarrage du moteur est terminé,Effetto luminoso attivato al completamento dell'avvio del motore,エンジン始動完了時にライトエフェクトがトリガーされます,엔진 스타트 완료 시 조명 효과 활성화
telemetry.tooltip.FFB_CLIPPING,力反馈信号过载触发信号,力回饋信號過載觸發信號,Force feedback signal overload trigger,Activación por sobrecarga de la señal de retroalimentación de fuerza,Déclencheur de surcharge du signal de retour de force,Attivazione di sovraccarico del segnale di force feedback,フォースフィードバック信号が過負荷になるとトリガーされます,포스 피드백 신호 과부하 트리거
telemetry.tooltip.FLAG_BLACK,游戏中收到黑旗信号,遊戲中收到黑旗信號,Black flag signal received in-game,Señal de bandera negra recibida en el juego,Signal de drapeau noir reçu en jeu,Segnale di bandiera nera ricevuto nel gioco,ゲーム中に黒旗信号を受信しました,게임에서 검은색 깃발 신호를 수신했습니다
telemetry.tooltip.FLAG_BLUE,游戏中收到蓝旗信号,遊戲中收到藍旗信號,Blue flag signal received in-game,Señal de bandera azul recibida en el juego,Signal de drapeau bleu reçu en jeu,Segnale di bandiera blu ricevuto nel gioco,ゲーム中に青旗信号を受信しました,게임에서 파란 깃발 신호를 수신했습니다
telemetry.tooltip.FLAG_CHECKERED,游戏中收到方格旗信号,遊戲中收到方格旗信號,Checkered flag signal received in-game,Señal de bandera a cuadros recibida en el juego,Signal de drapeau à damier reçu en jeu,Segnale di bandiera a scacchi ricevuto nel gioco,ゲーム中にチェッカーフラッグ信号を受信しました,게임에서 체커 깃발 신호를 수신했습니다
telemetry.tooltip.FLAG_GREEN,游戏中收到绿旗信号,遊戲中收到綠旗信號,Green flag signal received in-game,Señal de bandera verde recibida en el juego,Signal de drapeau vert reçu en jeu,Segnale di bandiera verde ricevuto nel gioco,ゲーム中に緑旗信号を受信しました,게임에서 녹색 깃발 신호를 수신했습니다
telemetry.tooltip.FLAG_RED,游戏中收到红旗信号,遊戲中收到紅旗信號,Red flag signal received in-game,Señal de bandera roja recibida en el juego,Signal de drapeau rouge reçu en jeu,Segnale di bandiera rossa ricevuto nel gioco,ゲーム中に赤旗信号を受信しました,게임에서 빨간 깃발 신호를 수신했습니다
telemetry.tooltip.FLAG_WHITE,游戏中收到白旗信号,遊戲中收到白旗信號,White flag signal received in-game,Señal de bandera blanca recibida en el juego,Signal de drapeau blanc reçu en jeu,Segnale di bandiera bianca ricevuto nel gioco,ゲーム中に白旗信号を受信しました,게임에서 백색 깃발 신호를 수신했습니다
telemetry.tooltip.FLAG_YELLOW,游戏中收到黄旗信号,遊戲中收到黃旗信號,Yellow flag signal received in-game,Señal de bandera amarilla recibida en el juego,Signal de drapeau jaune reçu en jeu,Segnale di bandiera gialla ricevuto nel gioco,ゲーム中に黄旗信号を受信しました,게임에서 노란 깃발 신호를 수신했습니다
telemetry.tooltip.FUEL,燃料低于预设值时触发,燃料低於預設值時觸發,Triggered when fuel drops below the preset value,Se activa cuando el combustible cae por debajo del valor preestablecido,Déclenché lorsque le carburant tombe en dessous de la valeur prédéfinie,Attivato quando il carburante scende al di sotto del valore preimpostato,燃料が設定値を下回ったときにトリガー,연료가 설정값 이하로 떨어지면 트리거
telemetry.tooltip.GEAR,档位变化时更新灯效,檔位變化時更新燈效,Update light effect when gear changes,Actualizar efecto de luz al cambiar de marcha,Position de la vitesse,Aggiorna l'effetto luminoso quando cambia la marcia,ギアが変わるときにライトエフェクトを更新,기어 변속 시 조명 효과 업데이트
